gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845000002	PHLPP1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	3	2	7	0	0	1	1	0	0	0	0	0	0	2	0	0	1	5	0	0	0	0	6	0	0	2	0	0	0	11	1	1	6	10	3	8	0	0	0	5	1	0	1	0	22	2	0	3	0	0	2	0	0	3	0	9	1	1	2	6.036	0	0	0	0	0
ENSCAFG00845000003	ENSCAFG00845000003	0	0	0	2	1	0	3	1	0	1	0	10	0	0	1	1	2	8	0	5	1	0	4	0	1	0	0	2	0	0	6	0	2	1	1.001	0	1	0	3	1	0	0	0	3	0	0	0	6	19	3	23	12	0	0	0	1	4	5	0	0	0	2	4	0	0	0	1	0	0	4	1	0	0	3	1	1	4	6	0	0	3	0
ENSCAFG00845000004	ENSCAFG00845000004	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00845000005	ENSCAFG00845000005	0	0	5	0	6	0	0	7	0	3	0	1	7	0	8	3	8	4	244	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	11	1	0	0	5	0	0	0	0	0	31	2	1	6	0	57	34	1	0	6	1	33	10	0	6	0	0	0	0	1	0	0	11	0	10	3	0	1	0	1	8	0	2	0
ENSCAFG00845000006	ENSCAFG00845000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845000007	RMND1	20	0	0	0	1	0	0	9	0	7	8	1	4	13	46	6	0	7	0	5	4	5	0	18	0	2	0	0	0	0	0	16	0	3	0	0	8	23	0	4	0	0	0	0	0	2	0	6	1	0	0	6	34	60	7	2	0	7	0	0	8	0	1	5	17	2	12	0	0	0	6	0	11	1	1	0	7.769	0	0	29	2	0
ENSCAFG00845000008	ENPP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	1	0	0	6	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1	9	0	0	2	2	4	0	2	0	2	0	0	7	0	0	0	1	1	0	1	1	1	0	0
ENSCAFG00845000009	CLVS2	0	0	0	2	0	1	12	0	0	0	2	0	1	0	0	0	0	3	0	0	12	0	2	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	1	1	0	0	8	0	0	1	8	1	2	0	0	3	0	0	0	0	0	0	0	0	0	1	0	3	0	7	0	27	0	1	0	0	6	0	0	2	1	0
ENSCAFG00845000010	ENSCAFG00845000010	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSCAFG00845000011	U4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
